article	simple	complex
Speed of light	656	7425
Denial	79	7594
Tokyo	528	1108
List of physicists	7	4512
Brass	36	13
Body	152	3434
Alloy	90	206
Material	102	2173
Brain	729	261
Neuron	156	8486
Middle East	152	4759
Warsaw	190	3529
Point (geometry)	117	10733
Angle	256	566
List of walls	8	2042
List of terrorist incidents	47	8
List of telescope types	136	48
List of shipwrecks	15	202
List of emotions	10	550
List of bridges	12	67
List of bones of the human skeleton	28	32
Lists of tropical cyclone names	1777	36
Lists of astronomical objects	23	1978
List of nearest stars	71	13
List of nearest galaxies	57	372
List of water sports	47	191
List of waterways	19	55
List of waterfalls	7	17
List of tunnels	24	48
List of tallest structures in the world	301	14
List of symbols	13	361
White dwarf	292	13
Beach	205	4278
Major depressive disorder	893	7383
Qur'an	735	1808
Tony Blair	278	10089
Accident	190	7716
Acne	351	7819
Dinosaur	832	260
Stone Age	267	27
Adolf Hitler	1470	11577
Virgil	171	8680
Alcohol	131	26694
Wolfgang Amadeus Mozart	2002	4213
Johann Sebastian Bach	1612	3227
Atmosphere	431	5815
Penis	698	7543
Sahara	666	1517
Paris	732	1092
The Holocaust	374	4216
Kyoto	336	11871
Anarchy	464	21889
DNA	1145	4124
Karl Marx	290	2488
Bread	315	7822
Shinto	155	8824
Volcano	468	4389
Big Bang	441	7230
Astronomer	50	4482
Analysis	43	7695
Aristotle	912	790
Carl Sagan	1274	783
Colonization	121	8695
Choreography	103	6544
Vietnam War	1012	1531
Sahel	365	184
Chemical change	220	16538
Physical change	93	1627
Ronald Reagan	1262	264
United Nations	358	314
List of historians	58	13695
Marco Polo	383	7052
A Brief History of Time	3009	28
Alexander Graham Bell	1509	2277
1687	17	391
Deep house	30	9555
Cytokine	102	38
Bristol	240	211
List of towns in England	253	1026
Bright Eyes (band)	125	8565
Honeycomb	98	165
Greek language	231	2322
Murasaki Shikibu	65	762
Pepsin	67	2506
PH	250	674
Omnivore	42	1384
Herbivore	524	4077
1941	19	787
1945	23	3023
Ludwig van Beethoven	2706	39
Roald Amundsen	96	39
Triangle (disambiguation)	82	8102
Square (geometry)	78	2874
Meat	284	10
Anders Celsius	65	288
Tuvalu	305	4908
Java	93	982
James Watt	276	3078
Michelangelo	2700	3601
Leonardo da Vinci	4454	4080
1902	16	4568
Platinum	147	8502
List of minerals	7	35
Craft	94	3664
Kim Jong-il	310	50
Silver	756	593
Pope	564	6301
San Andreas Fault	315	5173
Void (astronomy)	112	11878
Metallurgy	569	1917
Fixed-wing aircraft	434	117
Aircraft	209	1651
Victoria, British Columbia	309	4098
Suez Canal	341	5183
Canal	79	7140
Mars (mythology)	49	4910
Cessna	32	3081
Clothing	416	3866
Shoe	108	1651
Footwear	188	3835
CafÃ©	319	2107
Jazz	340	715
Beef	89	617
The Beatles	1185	8038
Reincarnation	524	2856
EBay	171	14250
Gerhard SchrÃ¶der	151	7267
Melbourne	396	4152
Canberra	397	2800
Sydney	251	9284
Greenhouse effect	294	7410
Ionizing radiation	366	7333
Buzz Aldrin	175	1121
Tuberculosis	723	5615
American	155	1975
Clause	209	7605
Marxism	2065	71
Sacred	104	769
Translation	89	8872
Astronaut	170	2423
Broadcasting	439	6434
Socialism	899	2879
Leninism	29	1269
Bolshevik	294	9760
Saddam Hussein	3837	1717
List of tectonic plates	10	1987
List of oil fields	26	9329
Anarchism	338	539
List of countries by population	78	131
List of prime numbers	56	7471
Signature	209	291
CÃ´te d'Ivoire	180	1768
Luke McCormick	167	1050
Libertarianism	1806	6321
Auction	248	567
Hong Kong	273	5031
Blitzkrieg	164	2189
Tank	308	7317
Edinburgh	307	10553
Head of state	258	7303
Vladimir Lenin	916	9766
Disease	573	8566
Carbon	590	8955
Chemical reaction	98	3456
Rectangle	62	5391
Trafalgar Square	318	5254
Official language	100	1209
Cake	464	2569
House	2073	312
Gigabyte	147	1192
Sailor	25	1704
Farmer	107	805
Constellation	179	2495
Flood	391	669
Hell	422	862
Stonehenge	415	1911
Granite	232	5413
1970	22	6380
Syracuse, New York	65	2625
Soap opera	277	42
Georgia (U.S. state)	203	10659
Prem Rawat	196	4315
Immanuel Kant	1084	8254
Aunt	54	4763
Homer	447	10977
Marquis de Sade	305	59
Eurozone	99	3800
Ordinal number	161	4442
Republic	275	3434
Martin Luther	1163	5327
Noh	251	6680
Manga	93	12512
Spree	26	3171
Liberalism	647	3999
Zeno's paradoxes	634	648
Debian	479	8943
GNU	110	2512
Serbia	109	5468
Cancer	1900	1943
Photography	1123	10829
Bridge	102	8495
Mysticism	93	5892
Ontario	407	2624
Manitoba	257	8717
Head of government	127	6812
Saskatchewan	269	7283
Classical music	2217	1245
SNAFU	154	4645
NiccolÃ² Machiavelli	225	4666
Michigan	391	449
Caenorhabditis elegans	228	6064
Saxe-Weimar	201	8650
Oldham	158	2206
Pakistan	1422	1136
New Zealand	789	8300
South Korea	1053	8017
Republic of Ireland	299	7971
Vietnam	1339	10598
Lance Armstrong	352	11627
Ton	18	9268
Category:Tools	13	5708
Phoebe (moon)	159	1487
Three Peaks Challenge	742	43
Pennsylvania	865	1107
Box	152	160
Philippines	2248	8498
Fawlty Towers	387	429
Fort Ouiatenon	315	8957
Chennai	482	7205
Mumbai	288	1142
Bangalore	29	6216
New Delhi	50	9472
Edmund Hillary	452	5881
Wright brothers	420	2480
Charles Darwin	1126	4122
Adam Smith	340	11687
Isaac Newton	1224	9379
Johann Wolfgang von Goethe	1684	6912
Pythagoras	366	7568
Socrates	1483	6247
Dante Alighieri	1124	4019
Virginia Woolf	683	6666
Jane Austen	1226	4491
Charlotte BrontÃ«	621	3275
Emily BrontÃ«	60	5958
Anne BrontÃ«	187	1400
Charles Dickens	294	1102
Portsmouth	183	5753
HMS Victory	61	9322
HMS Warrior	43	9575
Mary Rose	165	3317
Mutiny on the Bounty	843	18
Lady Jane Grey	2155	13717
Tower of London	239	4627
Anne Boleyn	1587	2610
Mona Lisa	592	10194
1981	16	9760
Britney Spears	811	4257
The Matrix	2069	20
September 11 attacks	943	8012
Cardiff	252	4754
Valladolid	81	10204
Elizabeth Gaskell	114	11762
Venice	310	1743
Naples	310	1170
Florence	426	8868
Category:Mammals	12	7956
Category:Cats	22	14327
Glamorgan	91	46
Cornwall	351	28
Tintagel Castle	152	10868
Gwyneth Paltrow	83	9505
Sarah Michelle Gellar	1295	3077
Jennifer Garner	65	2348
Heather Graham	229	3721
Christina Ricci	27	2002
Julia Roberts	243	990
Angelina Jolie	200	1788
Lisa Kudrow	78	2433
Grace Kelly	231	8180
Elizabeth Taylor	480	1396
Hilary Swank	99	5637
Nana Visitor	77	6745
Alexander Siddig	85	1440
Eiffel Tower	249	641
Venus de Milo	94	715
Aphrodite	170	4533
Venus (mythology)	118	1748
Jupiter (mythology)	290	5305
Athena	290	2021
Barcelona	96	1428
Denise Lewis	16	6414
Bronze Age	235	7359
Louis XIV of France	1317	1006
Olympic Games	4297	3796
Iron Age	203	10715
Entertainment	49	9554
Open Site	116	2954
Coca-Cola	488	471
Sulfur	331	333
Aluminium	498	6236
Drawing	66	5759
Texas	782	6100
Prussia	1697	2871
Apocrypha	527	11509
Sodium	435	7271
Dice	154	3080
Matrix (mathematics)	552	4030
British Isles	94	4641
Algeria	85	8426
Plymouth	131	6291
George Washington	1046	7182
Abraham Lincoln	1414	6895
Calvin Coolidge	394	10183
Harry S. Truman	1595	13988
John Adams	473	7208
Bill Clinton	651	12570
Social network	644	9274
Cabal	160	9516
Human science	416	4323
Flaying	142	959
Rice	234	1291
Yoga	207	447
Human development theory	161	6671
Cattle	1854	3798
Thunder	156	300
1	101	3904
2	21	713
3	17	146
4	9	113
5	102	113
6	9	118
7	9	86
8	9	86
9	9	86
10	43	86
11	9	86
12	9	86
13	9	86
30	9	86
40	9	86
50	99	86
3 (number)	54	86
10 (number)	55	86
Category:Websites	17	752
Man	362	507
Woman	162	32
Arundel Castle	19	2364
Religious Society of Friends	1396	2206
Size	72	1597
Starvation	127	9844
Microsoft Word	594	14
