article	simple	complex
Seal of Kansas	24	2453
Western Meadowlark	37	5813
Perciformes	231	4079
Verdigris River	19	229
The Santa Clause	38	423
Air navigation	500	250
Kristi Yamaguchi	63	339
Sarah Hughes	53	1361
Parallelogram	73	2867
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	1325	1336
LÃ¡zaro CÃ¡rdenas	107	902
Laura Schlessinger	64	342
Dixie Chicks	49	3779
Kathy Bates	43	2255
IMMAGINE&amp;POESIA	239	4113
Earthquake Engineering Research Institute	64	6465
Feria del Sol (MÃ©rida)	589	1442
MÃ©rida, Venezuela	181	184
Beeswax	89	801
Hernia	71	589
2001 anthrax attacks	63	8718
Southern Province, Sri Lanka	29	574
Western Province, Sri Lanka	20	2021
Template:GNIS	10	9874
Kenai Peninsula	110	224
Cow and Chicken	57	142
Courage the Cowardly Dog	84	10
The Nutty Professor	148	464
2010 WTA Tour	139	3811
2011 ATP World Tour	136	1579
Scott Garland (wrestler)	52	907
2011 WTA Tour	141	390
2011 Brisbane International	157	401
Grameen Foundation Australia	820	1567
Jhang	13	372
Bhawana	32	169
Chiniot	25	698
Mir Taqi Mir	44	775
Kristina Keneally	60	1092
List of Urdu language poets	22	582
Category:Urdu poets	14	766
Ted Baillieu	83	1354
University of the Punjab	18	32
Category:Education in Pakistan	8	9
Marital status	53	1202
Location (geography)	30	891
Jhang Tehsil	26	16
Islamic studies	166	186
Punjab International Public High School	34	73
Aminpur	15	36
Life peer	59	1142
Liquid scintillation counting	306	162
Sarah Jessica Parker	44	42
Old Street station	58	2458
Multiple working	122	374
Al-Qaeda Organization in the Islamic Maghreb	176	2237
Julia Louis-Dreyfus	54	466
Wall Street	74	495
Nancy Kerrigan	47	1890
Tonya Harding	59	1301
Rufus Wainwright	80	7369
Iran Air	279	1783
Edmund Pevensie	1683	1840
Dexter's Laboratory	58	3660
Southwestern Bell	35	2144
Rufus Wainwright (album)	17	2606
Want One	25	2852
Want Two	68	817
Release the Stars	47	2855
All Days Are Nights: Songs for Lulu	25	2159
Rufus Does Judy at Carnegie Hall	37	262
Loudon Wainwright III	45	2644
Extraordinary Machine	9	2040
Angela Bassett	35	2630
Cindy Crawford	27	1063
Galmudug	139	3146
Yogyakarta Principles	482	1215
Moorgate station	137	1492
Patrick M. Byrne	50	1495
Overstock.com	64	1693
Janusz Palikot	91	1056
Gary Weiss	68	2657
Sam Brownback	29	2322
Populus sect. Aegiros	44	951
List of Kansas state symbols	14	1104
Homogenic	14	4259
Vespertine	14	726
MedÃºlla	31	14
Jerry Springer	34	2900
Aynishan Quliyeva	78	1153
The Sea of Monsters	1477	1050
Generation X	82	2531
Dangerous	14	81
Governor of Kansas	49	1386
The Grim Adventures of Billy &amp; Mandy	45	1666
Melanie Griffith	26	13
N.W.A	136	413
Philip K. Dick Award	197	2566
Wikipedia:Editor review/Tdxiang	63	1327
Diane Keaton	47	3134
Manticore	99	178
Typhon	74	138
Varanidae	59	6000
Huntingdon College	156	563
Ballistics	51	1072
Southern Gothic	48	134
Maserati	122	818
Generation Y	98	274
Aeolus	72	124
Nemean lion	87	1942
Hornblende	231	3135
Echidna (mythology)	133	1049
Ultrarelativistic limit	246	625
Atmospheric circulation	343	345
Pat Roberts	38	507
Monitor lizard	118	250
Category:User sco-2	12	2345
Shadow Cabinet	36	1707
Lancia Thema	28	992
Ruslan Fedotenko	79	12
Chris Oddleifson	621	602
Alex Plante	414	722
Xcrosscheckx	130	453
Category:All unreferenced BLPs	28	623
Phan Thanh Giáº£n	39	410
Silversun Pickups	134	129
Kraken	80	53
Leviathan	81	838
Smartphone	83	878
Michelle Malkin	26	1110
Dodge Ram Van	144	1878
Lincoln Town Car	117	2004
Candida albicans	109	2790
America's Got Talent	43	1519
Stained glass	63	6676
Shutter Island (film)	46	1458
Chevrolet Caprice	75	4438
List of United States Senators from Kansas	11	3989
Euston Road	122	2337
Calvin cycle	288	8874
Political machine	96	93
Hall &amp; Oates	53	735
Duke of Normandy	128	755
Fernando Wood	176	1500
Ford Expedition	65	6921
Chironex fleckeri	73	1099
2010â2011 Queensland floods	2677	1278
Ford Flex	80	8448
Rod Blagojevich	85	1403
The Prodigy	83	3658
Daintree Rainforest	284	1024
Rotes Rathaus	275	7473
List of mayors of Berlin	74	3617
Gondwana Rainforests of Australia	101	472
Unter den Linden	641	272
Chihuahua Municipality	56	74
Bridle path	44	331
Gabrielle Giffords	99	660
King in Prussia	129	60
Tabasco pepper	29	340
Tabasco sauce	41	3295
KansasâNebraska Act	30	473
Guerrero Municipality, Chihuahua	37	313
Guerrero Municipality, Coahuila	65	1205
Guerrero Municipality, Tamaulipas	12	3289
2006â07 Chicago Blackhawks season	36	60
Kathie Lee Gifford	41	78
Prince-elector	57	12
Mantis shrimp	549	43
List of rulers of Saxony	2885	1542
Base Ball Bear	169	4181
Pontiac Bonneville	82	2461
Pontiac Grand Prix	79	2898
Aeronwy Thomas	197	911
Droseraceae	77	3734
Amaranthaceae	60	11423
Art Fleming	23	360
David Herman	183	356
Ford Aerostar	70	338
Acinetobacter baumannii	82	955
Strict weak ordering	209	632
Miyazaki Prefecture	125	2939
Thundersnow	36	835
Alachua County, Florida	38	1036
Opsin	117	134
Sinoceratops	59	831
Crash Bandicoot 3: Warped	26	866
Crash Team Racing	40	1318
Crash Bash	36	83
Bowery	97	3883
Five Points, Manhattan	85	3211
Amber Heard	62	2077
Magnoliids	52	2436
Commelinids	72	1208
Ford Thunderbird	131	1168
Chevrolet Camaro	103	1492
International Species Information System	86	103
National Wildlife Federation	239	4958
Los Angeles Zoo	289	2135
Antibacterial	29	859
Phil Bronstein	364	2035
Danny DeVito	39	801
Predation	94	3637
Scallop	207	430
Pink (singer)	47	1184
Jeopardy! theme music	340	4685
Smithsonian National Zoological Park	243	2147
Avoca River	147	4165
Thomas S. Monson	209	2503
Chang Hyo-hui	23	3561
Alter Bridge	136	374
Manila Sound	251	2544
Imelda Marcos	209	134
Liver failure	46	3124
Goodbye Lullaby	43	1600
Battle of Fort Blair	52	3817
Olivenza	83	27
Lamprey	133	2621
Nat Turner	181	338
Royal Rumble (2011)	169	935
Princess Royal	199	1880
Common Sense (pamphlet)	119	2152
Jeopardy!	711	710
Alexander Calder	32	430
Electron affinity	32	1108
Oleg Tverdovsky	37	5765
Anton Babchuk	561	2894
Charlie Sheen	69	557
Geography of Taiwan	412	771
Chevrolet Suburban	94	677
House of Wittelsbach	49	2700
Dodge Caravan	100	1116
Conversion van	111	3632
Quinoa	99	2665
Chenopodioideae	102	5463
Kathy Griffin	58	1352
Juliette Lewis	47	1451
Lincoln (automobile)	54	216
Central Visayas	528	4622
Charles Edward Stuart	154	761
Henry Benedict Stuart	955	2113
Cam Plante	171	458
Tyler Plante	260	2249
Urbi et Orbi	155	1283
Quercus basaseachicensis	52	171
RingkÃ¸bing	46	260
Bill Ranford	885	701
Sargon II	138	61
BiÅgoraj	68	335
Category:Conn Smythe Trophy winners	39	876
Bryce Salvador	54	1652
Lewis and Harris	160	180
Station wagon	95	39
Chevrolet Silverado	37	98
Chuck Scherza	42	449
Category:Servants of God	42	4615
Servant of God	275	3458
Venerable	262	42
Jane Pauley	41	42
Burrito	61	560
Port of Gladstone	165	541
Lawrence Massacre	70	871
Pedro Ãlvares Cabral	295	1973
Toyota Sequoia	40	334
Mandaue City Central School	160	1630
Battle of Mine Creek	42	6947
Wilson prime	108	1113
Honda Odyssey	30	92
Typhoon Mike	595	1278
Control variable	27	136
Negative feedback	227	4353
Vorarlberg	22	589
Princess of Wales	87	306
Goh Kun	63	929
Flip Wilson	14	1247
Chevrolet Volt	55	1104
Royal coat of arms of the United Kingdom	184	235
James Earl Ray	64	931
Leadership	18	7415
Yaws	33	2231
Vibrio	100	1734
Hootie &amp; the Blowfish	48	6539
Chevrolet Impala	100	634
Hydrogenophilaceae	54	438
Coral Sea	321	1626
Gulf of Carpentaria	408	8647
Le Monde's 100 Books of the Century	103	225
Systematics	236	3259
Artivism	230	627
List of science fiction awards	68	170
Gold Coast, Queensland	205	638
Plaza Monumental RomÃ¡n Eduardo Sandia	299	271
Angolemi	66	23
Kim Jong-pil	77	5071
Vanessa L. Williams	48	299
Tiger Salamander	776	82
Brewing	24	332
Interborough Rapid Transit Company	79	2819
Qwest	68	755
Conan (TV series)	110	6967
Flag carrier	69	502
Somewhere in Time (album)	69	1909
Baird's Tapir	86	4508
Malayan Tapir	70	539
Korea under Japanese rule	147	531
Johann Heinrich Pestalozzi	23	1002
Melanin	74	1533
Mercury (automobile)	59	8965
Wolbachia	41	1101
Erotica	33	3409
Great Migration (African American)	128	3887
Dione (mythology)	55	805
Marilyn Quayle	47	454
New York Herald	184	1804
Yelawolf	62	638
Condamine, Queensland	161	885
Premier of Queensland	216	477
Mary Fallin	508	266
El AaiÃºn	27	177
Loris	142	99
Sogod, Cebu	36	1577
Lightning Bar	1164	306
Shonisaurus	440	186
Twenty20	215	36
Never Gonna Leave This Bed	191	1203
Journey to the West	101	315
Tesla (unit)	68	2317
Demography	109	593
Fiorello La Guardia	250	3805
Chinchilla, Queensland	224	434
Reformism	57	2198
Pisanosaurus	59	3231
Golden Fleece	166	1095
Zack Ryder	84	479
Pinacosaurus	64	535
Gorgosaurus	82	1137
Masiakasaurus	90	1498
Yeonsangun of Joseon	104	453
Sporangium	76	2737
Central Queensland University	94	1137
Federico Barocci	49	1061
Deinosuchus	293	679
Windows on the World	92	971
Sarcosuchus	504	1178
HMS Endeavour	425	2820
FC Seoul	57	663
Oldsmobile 88	96	2893
Pip Skid	204	5443
Lee &quot;Scratch&quot; Perry	331	2252
Cliff Burton	40	7490
Beipiaosaurus	49	204
Prime Minister of Russia	12	1168
The American Crisis	71	1830
Brian Guebert	276	758
Cartoon All-Stars to the Rescue	1727	992
Ford Focus (North America)	62	505
Edward E. Smith Memorial Award	91	270
Sinornithoides	63	1692
Shuvuuia	52	3855
WWE SmackDown vs. Raw 2011	109	119
Collage	71	135
Chevrolet Van	116	438
Clinical psychology	343	1213
Lee Hoi-chang	95	4238
Typhoon Xangsane	884	2382
David Trimble	96	5263
Stamen	142	519
2011 Pacific typhoon season	223	2177
The Saga Begins	27	2257
It's All About the Pentiums	54	645
Pretty Fly for a Rabbi	51	1147
You're Pitiful	60	445
Red beds	143	281
Wesel	37	255
Titanosaurus	81	799
First Minister and deputy First Minister	577	781
Outlook, Saskatchewan	43	700
Skytrail	44	183
Scrophulariaceae	47	1336
Cold seep	188	492
Calamba City	784	76
Laguna (province)	61	141
Deposed Queen Lady Yun	54	6426
Institute of Welsh Affairs	1074	3748
Table Mountain	138	1667
Fingal's Cave	282	309
Deadpool	108	1427
Villain	90	2040
Giant's Causeway	340	728
Ornithopter	88	3424
Calgary Stampede	112	1039
Juggling	101	1424
3753 Cruithne	798	3036
Mirror's Edge	23	3463
WWE Fatal 4-Way	29	2525
Okaloosa County, Florida	38	986
Martin County, Florida	59	4033
Wuerhosaurus	81	1633
Franklin County, Florida	38	608
Hillsborough County, Florida	38	626
Inner Hebrides	344	258
Hebrides	15	777
Scion xB	181	1932
Storegga Slide	269	4429
Brett Skinner	543	2732
Alex Smart	377	1750
Brock Trotter	203	483
Firth of Forth	207	543
Don't Download This Song	33	377
White &amp; Nerdy	58	203
Canadian Idiot	27	459
EBay (song)	43	651
Northern Isles	117	1483
Michele Bachmann	54	380
Cam Newton	53	115
Anna Louise Strong	1691	964
Winona, Minnesota	21	8664
For Your Entertainment (album)	221	1766
Ingredient	179	1906
Chainsaw	122	2823
Orion (spacecraft)	222	1338
Theogony	148	200
Musaceae	51	1382
Zingiberales	70	4683
Zingiberaceae	47	3329
TWAS	173	530
For Your Entertainment (song)	429	201
No Boundaries (song)	142	305
Purdue University	334	175
Capri pants	65	902
Time for Miracles	195	557
Ryan White	210	5249
Ken Wregget	368	203
Eau Claire, Wisconsin	41	395
Isles of Scilly	404	3288
Calluna	362	436
Piperales	52	2227
Piperaceae	56	5183
Carson Cistulli	210	967
Eastern Wallaroo	56	96
Chrysler Town &amp; Country	92	431
Marjoram	51	1514
Sidewise Award for Alternate History	498	115
Gardner Dozois	602	2886
Linear equation	24	326
Matt Duchene	52	489
2081 (film)	310	660
Crystal Gayle	63	1369
Joannie Rochette	166	1041
Duval County, Florida	38	300
Brevard County, Florida	38	2303
Collier County, Florida	38	1620
Highland Boundary Fault	246	863
Columbia County, Florida	39	13400
Glades County, Florida	39	822
Hendry County, Florida	39	308
Lake County, Florida	38	560
San Fernando, Chile	121	763
Leon County, Florida	38	508
Liberty County, Florida	38	718
Scottish Highlands	265	593
Dick Scobee	212	1452
Scottish Lowlands	343	549
Grampian Mountains	177	2480
Northwest Highlands	630	939
ExposÃ© (group)	82	369
Caper	97	704
Saitama, Saitama	550	469
Eino Tamberg	54	2767
Marilu Henner	62	2824
Danny Woodhead	64	969
Andean Condor	150	367
Black Vulture	93	1097
Mark Dayton	33	1665
Daryn Colledge	47	2839
Welcome to Paradise	194	2761
CP violation	44	1861
Another Love Song (Insane Clown Posse song)	74	78
Great Glen	664	301
Bizzar	118	1896
The Wraith: Shangri-La	80	282
Hell's Pit	83	319
The Tempest (album)	65	485
Bang! Pow! Boom!	126	1682
The Mighty Death Pop!	64	508
Mike E. Clark	51	618
Miracles (Insane Clown Posse song)	91	1862
Insane Clown Posse discography	15	482
Beverly Kills 50187	83	794
Betaucourt	25	962
Betoncourt-lÃ¨s-Brotte	25	151
Bassigney	25	190
Commelinales	46	20
White Center, Washington	199	22
Toni Collette	44	20
King Vulture	125	181
Turkey Vulture	94	578
Ford Escape	60	1248
Battle of Wuhan	65	3449
Alaska Airlines	69	2813
Okeechobee County, Florida	38	4702
Iapetus Ocean	276	2456
Osceola County, Florida	38	2977
St. Johns County, Florida	41	533
Washington County, Florida	45	933
Eduardo NÃ¡jera	72	858
Pole vault	82	781
Samuel Dalembert	80	709
Bobby Ryan	60	840
Luke McShane	338	3145
Alfa Romeo 147	16	226
Kevin Nash	57	616
No Way Out (2003)	54	853
Lisa Moretti	45	872
Ayako Hamada	58	7217
Rosa Mendes	76	2502
Highlands and Islands	19	2073
Order of Merit	1201	1299
Ellsworth Street Bridge	220	1974
East Caribbean dollar	167	281
Hammer throw	135	1190
Ocean thermal energy conversion	348	352
New World vulture	39	1727
Counter-Strike	18	389
Sriharikota	131	5176
Monarchy of Saint Kitts and Nevis	193	1781
Wonder Pets	51	2320
Giant impact hypothesis	677	144
COBOL	271	1449
3 Doors Down	68	2484
Third Treaty of San Ildefonso	67	1463
Viglen	46	2023
Lotus Cars	1448	2147
Susan Collins	57	1126
Frill-necked Lizard	188	547
Jodi Picoult	324	1893
Shad Gaspard	62	2327
Bukittinggi	67	941
Kenzo Suzuki	62	359
Gifu Prefecture	19	1602
Consequences Creed	63	711
Semih Erden	48	1532
Doug Williams (wrestler)	31	1821
Robert Boyle	204	1315
Myrtillocactus	56	691
USS Nimitz (CVN-68)	45	2510
Commelinoideae	51	2253
Emma Bunton	49	56
Category:Organelles	5	1899
Steeplechase (athletics)	22	142
Mr. Kennedy	84	2600
S Club	57	45
Muskmelon	297	694
2006 Hengchun earthquake	289	4618
Cuban Solenodon	66	6119
Chicago Tribune	67	264
Stephen Baldwin	36	1689
Fianna FÃ¡il	64	344
Jim Agnew	346	5478
Deloraine, Manitoba	27	1703
Western Hockey League	27	1593
War in North-West Pakistan	93	357
False pregnancy	95	141
Naomi Campbell	44	2307
Blue-ringed octopus	138	7782
Plasmodium falciparum	84	1620
Alexander Kazarsky	75	3558
Chrissie Hynde	40	950
Sandhill Crane	30	3502
Behind the Paint	92	75
Kratts' Creatures	62	2594
Wiz Khalifa	94	1641
Patric HÃ¶rnqvist	67	557
Jackass (TV series)	92	122
City of London Police	370	1661
Claudia Schiffer	57	448
Jack Crawford (sailor)	617	2631
Maria Cristina of Naples and Sicily	353	1200
Court-martial	63	1412
Plasmodiidae	42	628
Martha Wainwright	33	369
Philadelphia Quakers (NHL)	46	836
Protest song	92	182
Love. Angel. Music. Baby.	15	616
Ben Bernanke	18	568
Carrie Fisher	46	20173
Sylvester Stallone filmography	11	3230
Pygmy Hippopotamus	147	3226
Ski jumping	187	2520
Ahura Mazda	40	12
Angra Mainyu	30	3160
Limousine	95	2589
KT Tunstall	68	2156
Self-synchronizing code	180	2466
Call of Duty: Black Ops	152	1470
Pitfall!	105	2828
Alexei Zhamnov	92	213
Jenny McCarthy	75	4737
Nellee Hooper	349	1056
Emma Roberts	60	104
The Terror Wheel	74	2324
Keri Hilson	54	432
A Carnival Christmas	43	1796
Tunnel of Love (EP)	56	126
The Calm	62	1851
Freestyle skiing	143	67
Farrier	169	97
My Sister's Keeper	232	150
Oracle	53	1948
Ichthyornis	141	565
Designer baby	74	1014
Heron	203	2802
Debbie Gibson	53	1916
Serotonin	171	1035
Ibis	113	2117
Molineux Stadium	73	3175
Spoonbill	130	4649
The Hawthorns	66	361
TrES-4b	160	2102
Oxpecker	449	301
Elimination Chamber (2011)	97	2308
Dnipropetrovsk	81	224
Suez	71	719
Mae Young	62	686
IsmaÃ¯lia	145	4418
Sela Ward	61	520
Eye of the Storm (EP)	27	1438
Cattle Egret	726	566
Merginae	21	1074
Boundary Park	53	18
Immigration to Canada	219	2804
Glans	32	147
Lessepsian migration	462	1481
Stuyvesant TownâPeter Cooper Village	103	2534
Keri Russell	55	206
Aleutian Islands	152	446
Yarlung Zangbo River	45	2172
Yarlung Zangbo Grand Canyon	54	1355
Clay Matthews III	89	2516
Lea Thompson	51	774
Rallidae	92	845
Tim Masthay	92	1303
All Parties Hurriyat Conference	112	1045
Matt Turk	48	1404
Anthurium	77	261
Wynonna Judd	87	1118
Blades of Glory	29	389
Kathleen Turner	65	1221
Jewel (singer)	53	2708
Lynton and Barnstaple Railway	2465	1550
Woody Bay railway station	290	2687
Han River (Korea)	86	3715
Brent Peterson	620	3270
Category:People from Alberta	13	313
Jimmy Roy	246	1286
Jean-FranÃ§ois LabbÃ©	277	711
Tatyana Ali	35	14
Damian Marley	83	246
Upstate New York	109	278
Social Futebol Clube	12	721
Twiztid	23	823
University of California	168	4524
Luther Vandross	32	209
University of California, Santa Barbara	171	1230
Brown Pelican	61	4990
Lincoln Continental	72	2675
Julia Stiles	62	3829
Yu Gwan-sun	274	571
Dorothy Hamill	43	7856
Peggy Fleming	35	1818
Display (zoology)	172	446
Mary Lou Retton	36	1265
Air mass	46	612
Antelope	321	448
Tim Leveque	272	1003
Trent McCleary	865	1450
Category:People from Saskatchewan	13	2704
Opossum	95	272
Damian Jackson	95	865
Daryl Hannah	54	14
Air India Flight 182	206	1330
Tachisme	32	453
Wale (rapper)	53	1248
K-os	45	8177
Belinda Carlisle	63	343
Hydroplaning (tires)	69	2126
Sintel	290	3242
United States National Academies	202	3697
Jens Seipenbusch	85	1938
Sharon Stone	68	569
Kim Delaney	69	459
Aedes aegypti	45	84
Aedes	90	2928
Scirpophaga innotata	34	1110
Hank Hill	168	568
Caviar	44	299
Jackson, Wyoming	64	45
2009 Pacific typhoon season	112	3264
Body of Proof	84	1946
Blue Valentine (film)	57	1065
Patty Loveless	49	13782
Islamic state	46	801
National Academy of Engineering	101	1027
Dianne Wiest	78	3966
Nissan Altima	84	149
Linas Kleiza	81	1693
Coxiella	49	1363
Shewanella	45	3049
Mary Chapin Carpenter	54	612
Marcia Gay Harden	53	61
Jack Skille	83	45
Michael FrolÃ­k	105	2474
International Commission of Jurists	86	1261
Paul Bibeault	130	751
Martina McBride	48	225
Johnny Knoxville	51	971
Karl von Frisch	496	70
Tyler Seguin	82	3710
Jeff Skinner	64	997
Gustav Stresemann	2896	1769
Haley Joel Osment	60	752
Glasgow International Airport	114	661
Mikhail Chigorin	308	2928
Fran Drescher	71	1388
En Vogue	62	2008
Smart Technologies	55	1698
Icing (ice hockey)	153	1923
Copenhagen interpretation	397	2558
Cam Fowler	75	439
Staphylococcus	114	641
Streptococcus	98	2528
Kimberley Locke	36	828
PenÃ©lope Cruz	66	1293
Laura Branigan	34	950
Aalten	64	1960
Peat	586	5612
Civilization (series)	234	2871
Unreliable narrator	46	195
Narrator	96	3066
Ace of Base	42	1040
Minnie Driver	56	2106
Salama Moussa	245	1083
Warcraft II: Beyond the Dark Portal	60	3517
Burkholderia gladioli	53	1087
Classics	89	257
Chase &amp; Status	493	818
ESC/P	89	704
Shirred eggs	106	2457
Printer Command Language	120	928
Ramekin	177	283
Maratha, Santalaris and Aloda massacre	123	111
Susan Sullivan	47	519
Guangdong	115	185
Elly Jackson	54	232
Booker T. &amp; the M.G.'s	262	752
Stax Records	44	2982
Matt Ellison	119	512
Fernando Pisani	83	3464
Tracy Beaker Returns	35	4605
20th century in literature	123	290
Conodont	310	727
Love Like This	70	355
Unwritten (song)	73	683
Backlash (2004)	46	705
James River	49	917
Gucci Mane	65	742
Temple Grandin	57	1771
Harry Mulisch	66	1273
BellSouth	82	1036
Mayfly	279	1619
Alejandro (song)	75	820
Gary Moore	61	1214
Hollandaise sauce	535	1046
Osage Plains	44	4136
Metropolitan area network	88	1617
Jean Anthelme Brillat-Savarin	819	1097
Jennie Garth	80	643
Brillat-Savarin cheese	289	260
Poularde Albufera	108	991
Guppy	95	1201
Albufera Sauce	110	295
Jack in the Box	28	54
Bihari Muslims	152	1093
LeAnn Rimes	74	75
Ashanti (entertainer)	73	3355
Surankote Tehsil	32	416
Matanuska-Susitna Valley	305	5268
Hiranagar	28	5867
Chugach Mountains	201	131
Wrangell Mountains	216	439
Q fever	87	289
Alprazolam	72	240
Toronto Stock Exchange	32	230
Template:Infobox exchange/doc	214	1077
Unwritten	65	3887
N.B. (album)	81	1058
Polish American	54	214
Hallucinogen	30	370
Bad News Brown (musician)	53	1921
Rick James	64	4866
The Notorious B.I.G.	95	5055
Central Hockey League	235	1342
Missouri Mavericks	76	2231
Yip Man	101	5783
San FermÃ­n	93	398
Bellini (cocktail)	94	193
Transduction	10	1370
Friedensreich Hundertwasser	53	1664
Edgar Degas	436	499
Luigi Russolo	48	12
Bacterial conjugation	496	1502
Plasmid	349	4210
Horizontal gene transfer	315	442
Transduction (genetics)	162	1142
Ferdinand de Lesseps	663	2376
Transformation (genetics)	507	1721
Charles Ranhofer	391	688
Malibu, California	41	3453
Joshua Lederberg	568	1565
Spirochaete	103	420
AveryâMacLeodâMcCarty experiment	156	5551
Alton, Kansas	32	1004
Lebanon, Kansas	31	228
Sprint Nextel	44	2002
Montgomery County, Kansas	43	407
Rajon Rondo	65	506
Bette Midler	67	5607
Subway (restaurant)	12	967
Brandon Bochenski	110	2952
Elimination Chamber	93	2939
Dixie Carter	87	2647
Bouvier des Flandres	52	1053
Peter Forsberg	120	1459
Marie FranÃ§ois Sadi Carnot	205	1510
Dictyoptera	150	1059
Frances Fisher	64	3863
Fredonia, Kansas	31	621
Grylloblattidae	117	208
Exopterygota	163	585
Xiphosura	176	649
Eurypterid	227	143
Amblypygi	128	330
Cee Lo Green	67	933
Bushel	36	1346
Adelina Patti	129	545
Lebanon (disambiguation)	11	2505
Oculocerebrorenal syndrome	148	335
Rubicon	76	2484
In Rainbows	23	11
OK Computer	37	543
Niklas BÃ¤ckstrÃ¶m	64	1193
Marcin Gortat	85	3760
Soulmate (song)	80	5531
Achterhoek	157	405
Sally Kirkland	102	629
Magnus Johansson (ice hockey)	86	624
Lorraine Bracco	75	243
Dejima	793	341
Innate immune system	359	411
Gnarls Barkley	73	739
All Saints (group)	61	1947
Oxygen difluoride	196	3106
Template:Eliteprospects	0	1492
Phosphorus pentafluoride	31	2138
Adaptive immune system	402	224
Alexander Urbom	47	0
Daniel Tetrault	41	200
Silas Marner	52	3682
Robbie Neale	24	64
Rapid City Rush	64	41
Template:FAQ page	89	1073
Simba	28	26
Ministries Trial	425	416
Freiherr	62	89
Dresdner Bank	428	3248
Daily News (New York)	96	413
LoveGame	36	1360
Hurricane Gracie	54	823
Tabloid	93	873
Sissy Spacek	92	3074
Durham, North Carolina	371	1055
Valerie Plame	94	3310
Paul Menard	61	1849
Ricki Lake	65	4311
Valerie Bertinelli	55	3157
Designing Women	45	1573
Buick Regal	55	1070
Bucky Covington	54	931
Patsy Cline	120	2075
Daniel Nathans	197	3743
Chris Bosh	89	1001
Fiat Cinquecento	24	9428
Bowers Coaches	103	200
American Civil Liberties Union	255	5140
Louise Henriette de Bourbon	314	899
Seminole County, Florida	11	736
Baker County, Florida	10	3925
Bay County, Florida	10	1026
Seminole County, Georgia	10	1092
Puppet (software)	18	665
Baker County, Georgia	15	621
Barbara Hershey	62	494
Jaypee Group Circuit	60	186
Category:Wikipedia articles needing page number citations	13	562
Category:Television stubs	23	3777
Mike Fisher (ice hockey)	75	330
Mount Buninyong	205	51
Derrick Rose	91	22
Visual arts	150	1014
Sammy Sosa	80	388
Teri Garr	75	3180
Jamie Benn	55	2800
Hearing aid	60	2834
Shapiro delay	199	934
MillerâUrey experiment	316	353
Tony Amonte	95	5392
KristjÃ¡n EldjÃ¡rn	87	747
Henry Lawson	44	2080
Nellie Melba	55	457
Skeeter Davis	74	332
Barry Humphries	143	1670
Australian country music	170	4941
Get Closer (Keith Urban album)	81	2217
Ensifera	45	5801
Tetrigidae	48	2881
Born This Way (song)	329	679
Pastor Maldonado	579	62
Chapel Hill, North Carolina	154	320
Pedobear	145	4975
Lady Antebellum	39	1165
Victoria Principal	68	1974
Winton, Victoria	82	531
Grevillea	165	1718
AgnÃ¨s Sorel	337	1523
Strip Me	60	20
Death mask	879	439
Al Smith	275	537
Edwardstone	59	1304
Groton, Suffolk	29	911
Booker T. Jones	73	2479
Louis Gabriel Suchet	370	57
Porter Wagoner	106	472
Tennessee Ernie Ford	134	1132
Vevey	34	652
Sandy Duncan	63	1265
Steve Cropper	113	1813
Jesse Carmichael	173	724
Alexander I of Russia	542	1372
Valerie Harper	89	1244
Jackie Wilson	209	172
Alaska Interior	465	4685
Kid A	26	1287
Hail to the Thief	25	4161
The King of Limbs	18	465
Amnesiac	22	4486
The Bends	23	2612
Pablo Honey	23	1453
Absolution	50	1203
Petrified wood	139	2088
Dolores Claiborne (film)	39	1987
Christian de Duve	54	2490
Corvus (constellation)	544	407
Eric Kandel	53	821
D. J. King	94	356
Nuclear fallout	115	576
Drillbit Taylor	50	2156
Canary	77	304
Cars 2	102	2793
FranÃ§oise BarrÃ©-Sinoussi	51	1015
Mean Streets	42	1087
Aaron Sherritt	65	766
Parliament of Victoria	165	406
Rita Levi-Montalcini	68	1123
The Big Chill (film)	46	305
Nate Marquardt	65	1414
The Painted Veil (2006 film)	65	1095
Victoria Police	97	1892
T. J. Oshie	82	1994
Royal Commission	497	2897
Delmonico's	962	2570
Frank Heller	109	769
ConsommÃ©	74	565
Generation gap	26	1080
Shawinigan	86	87
Caroline Rhea	101	1386
Nova	43	571
It Was a Good Day	67	1231
Warming center	1672	817
Bobby Hull	136	1183
Fault scarp	17	848
Georg von BÃ©kÃ©sy	63	1708
Frostbite	45	1956
Gustave Eiffel	60	499
Bullshit	54	722
Black-eyed pea	41	1078
2012 Formula One season	47	1656
Great Horned Owl	227	1181
Capital Region International Airport	232	1200
Daniel Bedingfield	67	262
BelÃ©n Esteban	21	2226
Holy Week	74	4148
Amanda Seyfried	130	808
Sinodelphys	191	118
Homework (2011 film)	59	6319
Peppermint	70	2304
Emotional intelligence	86	243
Bulletproof (La Roux song)	63	126
Culinary name	68	984
Ken Salazar	45	3942
Hilda Solis	49	773
Kathleen Sebelius	58	102
Lojze Grozde	1038	2377
SzilÃ¡rd BogdÃ¡nffy	649	4543
Trevor Bayne	435	3307
Ambrosia (band)	46	1019
Miguel Olivo	104	669
Chinese Mountain Cat	58	736
Barri Griffiths	84	2411
Florence Henderson	57	487
The Subtle Knife	96	375
Knots Landing	77	848
Okra	64	1123
Daniel (name)	74	1408
